classifier_name,dataset_name,accuracy
LITE,ShapesAll,0.8997
LITE,SmallKitchenAppliances,0.7579
LITE,SmoothSubspace,0.984
LITE,SonyAIBORobotSurface1,0.8416
LITE,SonyAIBORobotSurface2,0.9396
LITE,StarLightCurves,0.9744
LITE,Strawberry,0.9784
LITE,SwedishLeaf,0.9558
LITE,Symbols,0.9807
LITE,SyntheticControl,0.9987
LITE,ToeSegmentation1,0.9693
LITE,ToeSegmentation2,0.9277
LITE,Trace,1
LITE,TwoLeadECG,0.9979
LITE,TwoPatterns,1
LITE,UMD,0.9542
LITE,UWaveGestureLibraryAll,0.891
LITE,UWaveGestureLibraryX,0.8093
LITE,UWaveGestureLibraryY,0.7238
LITE,UWaveGestureLibraryZ,0.7562
LITE,Wafer,0.999
LITE,Wine,0.6407
LITE,WordSynonyms,0.6787
LITE,Worms,0.8104
LITE,WormsTwoClass,0.7844
LITE,Yoga,0.9067
LITETime,ACSF1,0.91
LITETime,Adiac,0.8338
LITETime,AllGestureWiimoteX,0.7657
LITETime,AllGestureWiimoteY,0.7886
LITETime,AllGestureWiimoteZ,0.7529
LITETime,ArrowHead,0.84
LITETime,BME,0.9933
LITETime,Beef,0.7667
LITETime,BeetleFly,0.9
LITETime,BirdChicken,0.9
LITETime,CBF,0.9989
LITETime,Car,0.9333
LITETime,Chinatown,0.9825
LITETime,ChlorineConcentration,0.8484
LITETime,CinCECGTorso,0.8732
LITETime,Coffee,1
LITETime,Computers,0.812
LITETime,CricketX,0.8308
LITETime,CricketY,0.8769
LITETime,CricketZ,0.8615
LITETime,Crop,0.7573
LITETime,DiatomSizeReduction,0.9608
LITETime,DistalPhalanxOutlineAgeGroup,0.7122
LITETime,DistalPhalanxOutlineCorrect,0.7609
LITETime,DistalPhalanxTW,0.7122
LITETime,DodgerLoopDay,0.575
LITETime,DodgerLoopGame,0.8188
LITETime,DodgerLoopWeekend,0.971
LITETime,ECG200,0.92
LITETime,ECG5000,0.9427
LITETime,ECGFiveDays,0.9977
LITETime,EOGHorizontalSignal,0.6354
LITETime,EOGVerticalSignal,0.4116
LITETime,Earthquakes,0.7338
LITETime,ElectricDevices,0.7025
LITETime,EthanolLevel,0.74
LITETime,FaceAll,0.7929
LITETime,FaceFour,0.9545
LITETime,FacesUCR,0.962
LITETime,FiftyWords,0.8066
LITETime,Fish,0.9771
LITETime,FordA,0.9583
LITETime,FordB,0.8531
LITETime,FreezerRegularTrain,0.9979
LITETime,FreezerSmallTrain,0.9611
LITETime,Fungi,1
LITETime,GestureMidAirD1,0.7538
LITETime,GestureMidAirD2,0.7077
LITETime,GestureMidAirD3,0.4231
LITETime,GesturePebbleZ1,0.9186
LITETime,GesturePebbleZ2,0.8987
LITETime,GunPoint,1
LITETime,GunPointAgeSpan,0.9905
LITETime,GunPointMaleVersusFemale,0.9905
LITETime,GunPointOldVersusYoung,0.9778
LITETime,Ham,0.7143
LITETime,HandOutlines,0.9541
LITETime,Haptics,0.5649
LITETime,Herring,0.7656
LITETime,HouseTwenty,0.9832
LITETime,InlineSkate,0.5509
LITETime,InsectEPGRegularTrain,0.996
LITETime,InsectEPGSmallTrain,0.9639
LITETime,InsectWingbeatSound,0.6333
LITETime,ItalyPowerDemand,0.967
LITETime,LargeKitchenAppliances,0.8907
LITETime,Lightning2,0.7541
LITETime,Lightning7,0.8356
LITETime,Mallat,0.9586
LITETime,Meat,0.9333
LITETime,MedicalImages,0.7855
LITETime,MelbournePedestrian,0.9057
LITETime,MiddlePhalanxOutlineAgeGroup,0.513
LITETime,MiddlePhalanxOutlineCorrect,0.8488
LITETime,MiddlePhalanxTW,0.5
LITETime,MixedShapesRegularTrain,0.9806
LITETime,MixedShapesSmallTrain,0.9439
LITETime,MoteStrain,0.8826
LITETime,NonInvasiveFetalECGThorax1,0.9598
LITETime,NonInvasiveFetalECGThorax2,0.9608
LITETime,OSULeaf,0.9545
LITETime,OliveOil,0.8
LITETime,PLAID,0.9199
LITETime,PhalangesOutlinesCorrect,0.8403
LITETime,Phoneme,0.337
LITETime,PickupGestureWiimoteZ,0.78
LITETime,PigAirwayPressure,0.4712
LITETime,PigArtPressure,0.9952
LITETime,PigCVP,0.9471
LITETime,Plane,1
LITETime,PowerCons,0.9611
LITETime,ProximalPhalanxOutlineAgeGroup,0.8537
LITETime,ProximalPhalanxOutlineCorrect,0.9175
LITETime,ProximalPhalanxTW,0.8049
LITETime,RefrigerationDevices,0.496
LITETime,Rock,0.86
LITETime,ScreenType,0.5893
LITETime,SemgHandGenderCh2,0.8683
LITETime,SemgHandMovementCh2,0.5111
LITETime,SemgHandSubjectCh2,0.8022
LITETime,ShakeGestureWiimoteZ,0.96
LITETime,ShapeletSim,0.75
LITETime,ShapesAll,0.9133
LITETime,SmallKitchenAppliances,0.7707
LITETime,SmoothSubspace,0.9867
LITETime,SonyAIBORobotSurface1,0.8353
LITETime,SonyAIBORobotSurface2,0.9412
LITETime,StarLightCurves,0.9767
LITETime,Strawberry,0.9838
